model,target,mae,rmse,r2,path
linear,power,0.13411931265300217,0.1694382360131343,0.9808207795710301,models\linear_power.joblib
linear,minutes,773.4160835720603,1872.3160008753325,0.18375498771989096,models\linear_minutes.joblib
rf,power,0.04768923870894118,0.06290267231420858,0.9973567009497266,models\rf_power.joblib
rf,minutes,36.60242321678323,222.82248710919615,0.9884394025809781,models\rf_minutes.joblib
xgb,power,0.05160852670216445,0.06765120446267385,0.9969425513337716,models\xgb_power.joblib
xgb,minutes,43.19347264248868,185.75727835004858,0.9919655912713424,models\xgb_minutes.joblib
